content_type,number_of_peers,opt_type,runtime_in_ms,success,objective,avg_delay
VIDEO,34,DIR,0.3130,1,5384.0000,41.9972
VIDEO,34,HEU,74.4491,1,524.0000,67.1723
VIDEO,34,MST,27.6263,1,520.0000,76.3679
AUDIO,34,DIR,0.0472,1,5384.0000,41.9972
AUDIO,34,HEU,70.6086,1,524.0000,67.1723
AUDIO,34,MST,15.5013,1,520.0000,76.3679
MESSAGING,34,DIR,0.0565,1,5384.0000,41.9972
MESSAGING,34,HEU,76.2045,1,524.0000,67.1723
MESSAGING,34,MST,38.7611,1,520.0000,76.3679
VIDEO,35,DIR,0.3426,1,5510.0000,41.6654
VIDEO,35,HEU,65.0554,1,526.0000,66.3771
VIDEO,35,MST,16.6500,1,522.0000,75.4493
AUDIO,35,DIR,0.1097,1,5510.0000,41.6654
AUDIO,35,HEU,69.4032,1,526.0000,66.3771
AUDIO,35,MST,14.8053,1,522.0000,75.4493
MESSAGING,35,DIR,0.0567,1,5510.0000,41.6654
MESSAGING,35,HEU,42.5193,1,526.0000,66.3771
MESSAGING,35,MST,21.4548,1,522.0000,75.4493
VIDEO,36,DIR,0.2899,1,5759.0000,41.9798
VIDEO,36,HEU,93.4224,1,526.0000,67.5596
VIDEO,36,MST,33.3006,1,522.0000,77.3271
AUDIO,36,DIR,0.0985,1,5759.0000,41.9798
AUDIO,36,HEU,77.6854,1,526.0000,67.5596
AUDIO,36,MST,29.9368,1,522.0000,77.3271
MESSAGING,36,DIR,0.0794,1,5759.0000,41.9798
MESSAGING,36,HEU,86.2784,1,526.0000,67.5596
MESSAGING,36,MST,15.0075,1,522.0000,77.3271
VIDEO,37,DIR,0.3929,1,5885.0000,41.6340
VIDEO,37,HEU,107.0282,1,527.0000,67.8980
VIDEO,37,MST,29.5310,1,522.0000,77.1286
AUDIO,37,DIR,0.0625,1,5885.0000,41.6340
AUDIO,37,HEU,97.8603,1,527.0000,67.8980
AUDIO,37,MST,26.8323,1,522.0000,77.1286
MESSAGING,37,DIR,0.0594,1,5885.0000,41.6340
