content_type,number_of_peers,opt_type,runtime_in_ms,success,objective,avg_delay
AUDIO,12,ILP,DNF,0,-,-
AUDIO,12,MST,13.4223,1,664.1550,74.0131
MESSAGING,12,DIR,0.0319,1,2719.1550,57.5770
MESSAGING,12,HEU,10.2413,1,767.3100,148.8536
MESSAGING,12,ILP,DNF,0,-,-
MESSAGING,12,MST,30.2432,1,664.1550,74.0131
GAMING,12,DIR,0.0169,0,0.0000,0.0000
GAMING,12,HEU,0.9656,0,0.0000,0.0000
GAMING,12,ILP,2859691.0243,0,0.0000,0.0000
GAMING,12,MST,13.2420,0,0.0000,0.0000
VIDEO,13,DIR,0.1452,1,2719.1550,53.5025
VIDEO,13,HEU,9.2602,1,767.3100,135.4917
VIDEO,13,ILP,DNF,0,-,-
VIDEO,13,MST,15.4431,1,664.1550,71.2876
AUDIO,13,DIR,0.0300,1,2719.1550,53.5025
AUDIO,13,HEU,12.1865,1,845.4650,107.4004
AUDIO,13,ILP,DNF,0,-,-
AUDIO,13,MST,29.7294,1,664.1550,71.2876
MESSAGING,13,DIR,0.0296,1,2719.1550,53.5025
MESSAGING,13,HEU,25.1455,1,767.3100,135.4917
MESSAGING,13,ILP,DNF,0,-,-
MESSAGING,13,MST,13.4251,1,664.1550,71.2876
GAMING,13,DIR,0.0172,0,0.0000,0.0000
GAMING,13,HEU,0.8197,0,0.0000,0.0000
GAMING,13,ILP,DNF,0,-,-
GAMING,13,MST,29.7928,0,0.0000,0.0000
VIDEO,14,DIR,0.1338,1,3121.1550,52.7669
VIDEO,14,HEU,10.0052,1,767.3100,138.1033
VIDEO,14,ILP,DNF,0,-,-
VIDEO,14,MST,15.5606,1,664.1550,74.8230
AUDIO,14,DIR,0.0286,1,3121.1550,52.7669
AUDIO,14,HEU,12.9502,1,938.4650,116.9433
AUDIO,14,ILP,DNF,0,-,-
AUDIO,14,MST,29.8963,1,664.1550,74.8230
MESSAGING,14,DIR,0.0284,1,3121.1550,52.7669
MESSAGING,14,HEU,32.7141,1,767.3100,138.1033
MESSAGING,14,ILP,DNF,0,-,-
MESSAGING,14,MST,13.7095,1,664.1550,74.8230
GAMING,14,DIR,0.0370,0,0.0000,0.0000
GAMING,14,HEU,0.9799,0,0.0000,0.0000
GAMING,14,ILP,1940752.5651,0,0.0000,0.0000
GAMING,14,MST,13.2298,0,0.0000,0.0000
VIDEO,15,DIR,0.1380,1,3326.1550,54.1851
VIDEO,15,HEU,10.7312,1,767.3100,137.2707
VIDEO,15,ILP,DNF,0,-,-
VIDEO,15,MST,15.3763,1,664.1550,74.9991
AUDIO,15,DIR,0.0360,1,3326.1550,54.1851
AUDIO,15,HEU,13.9992,1,843.4650,117.1082
AUDIO,15,ILP,DNF,0,-,-
AUDIO,15,MST,12.5890,1,664.1550,74.9991
MESSAGING,15,DIR,0.0823,1,3326.1550,54.1851
MESSAGING,15,HEU,13.6867,1,767.3100,137.2707
MESSAGING,15,ILP,DNF,0,-,-
MESSAGING,15,MST,30.1068,1,664.1550,74.9991
GAMING,15,DIR,0.0858,0,0.0000,0.0000
GAMING,15,HEU,0.9494,0,0.0000,0.0000
GAMING,15,ILP,2373734.2582,0,0.0000,0.0000
GAMING,15,MST,38.2860,0,0.0000,0.0000
VIDEO,16,DIR,0.1402,1,3526.1550,52.5115
VIDEO,16,HEU,11.5237,1,867.3100,129.6769
VIDEO,16,ILP,DNF,0,-,-
VIDEO,16,MST,32.1448,1,769.1550,124.9918
AUDIO,16,DIR,0.0360,1,3526.1550,52.5115
AUDIO,16,HEU,15.1367,1,874.1550,62.0987
AUDIO,16,ILP,DNF,0,-,-
AUDIO,16,MST,29.7740,0,0.0000,0.0000
MESSAGING,16,DIR,0.0913,1,3526.1550,52.5115
MESSAGING,16,HEU,27.7340,1,867.3100,129.6769
MESSAGING,16,ILP,DNF,0,-,-
MESSAGING,16,MST,29.5475,1,769.1550,124.9918
GAMING,16,DIR,0.0470,0,0.0000,0.0000
GAMING,16,HEU,0.9303,0,0.0000,0.0000
GAMING,16,ILP,2642013.5701,0,0.0000,0.0000
GAMING,16,MST,13.1843,0,0.0000,0.0000
VIDEO,17,DIR,0.1309,1,3746.1550,54.6994
VIDEO,17,HEU,12.2578,1,887.4650,131.7740
VIDEO,17,ILP,DNF,0,-,-
VIDEO,17,MST,15.1494,1,789.1550,129.6529
AUDIO,17,DIR,0.0324,1,3746.1550,54.6994
AUDIO,17,HEU,16.2356,1,894.3100,89.2886
AUDIO,17,ILP,DNF,0,-,-
AUDIO,17,MST,13.1454,0,0.0000,0.0000
MESSAGING,17,DIR,0.0386,1,3746.1550,54.6994
MESSAGING,17,HEU,16.6581,1,887.4650,131.7740
MESSAGING,17,ILP,DNF,0,-,-
MESSAGING,17,MST,46.1063,1,789.1550,129.6529
GAMING,17,DIR,0.0119,0,0.0000,0.0000
GAMING,17,HEU,0.8576,0,0.0000,0.0000
GAMING,17,ILP,DNF,0,-,-
GAMING,17,MST,14.7038,0,0.0000,0.0000
VIDEO,18,DIR,0.1416,1,3947.1550,53.8697
VIDEO,18,HEU,12.9175,1,887.4650,142.3075
