content_type,number_of_peers,opt_type,runtime_in_ms,success,objective,avg_delay
AUDIO,29,DIR,0.0484,1,2179.0000,45.7947
AUDIO,29,HEU,34.5464,1,648.0000,77.3012
AUDIO,29,MST,12.6157,1,645.0000,89.0464
AUDIO,30,DIR,0.0415,1,2305.0000,45.9995
AUDIO,30,HEU,35.0468,1,648.0000,79.0482
AUDIO,30,MST,13.0806,0,0.0000,0.0000
AUDIO,31,DIR,0.0498,1,2431.0000,45.6277
AUDIO,31,HEU,38.2695,1,648.0000,79.9921
AUDIO,31,MST,11.9524,0,0.0000,0.0000
AUDIO,32,DIR,0.0398,1,2433.0000,45.6559
AUDIO,32,HEU,39.0725,1,650.0000,79.4947
AUDIO,32,MST,13.2480,0,0.0000,0.0000
AUDIO,33,DIR,0.0503,1,2559.0000,46.3123
AUDIO,33,HEU,39.5648,1,650.0000,80.1249
AUDIO,33,MST,13.0367,0,0.0000,0.0000
AUDIO,34,DIR,0.0527,1,2690.0000,47.3484
AUDIO,34,HEU,43.2045,1,653.0000,80.2171
AUDIO,34,MST,12.6224,0,0.0000,0.0000
AUDIO,35,DIR,0.0606,1,2691.0000,47.2852
AUDIO,35,HEU,41.8074,1,651.0000,82.2970
AUDIO,35,MST,12.2697,0,0.0000,0.0000
AUDIO,36,DIR,0.0403,1,2822.0000,48.0478
AUDIO,36,HEU,43.7269,1,651.0000,82.1472
AUDIO,36,MST,12.6915,0,0.0000,0.0000
AUDIO,37,DIR,0.0885,1,2824.0000,47.8913
AUDIO,37,HEU,44.4109,1,652.0000,81.4421
AUDIO,37,MST,12.7997,0,0.0000,0.0000
AUDIO,38,DIR,0.0706,1,2828.0000,47.9043
AUDIO,38,HEU,45.9013,1,652.0000,80.5769
AUDIO,38,MST,12.8112,0,0.0000,0.0000
AUDIO,39,DIR,0.0641,1,2954.0000,47.5632
AUDIO,39,HEU,47.3993,1,652.0000,64.1101
AUDIO,39,MST,12.8446,0,0.0000,0.0000
AUDIO,40,DIR,0.0694,1,3080.0000,48.1994
AUDIO,40,HEU,48.9116,1,652.0000,65.2592
AUDIO,40,MST,12.7482,0,0.0000,0.0000
AUDIO,41,DIR,0.0927,1,3206.0000,48.7418
AUDIO,41,HEU,49.9640,1,652.0000,65.3397
AUDIO,41,MST,13.6154,0,0.0000,0.0000
AUDIO,42,DIR,0.0675,1,3332.0000,49.0881
