content_type,number_of_peers,opt_type,runtime_in_ms,success,objective,max_delay
AUDIO,36,MST,14.0605,0,0.0000,150.0000
AUDIO,42,DIR,0.0601,1,3452.0000,81.8154
AUDIO,42,HEU,70.4079,1,650.0000,149.6166
AUDIO,42,MST,14.6635,0,0.0000,150.0000
GAMING,6,DIR,0.0224,1,261.0000,66.6596
GAMING,6,HEU,5.5902,1,135.0000,70.5607
GAMING,6,ILP,719528.2838,1,134.0000,70.5607
GAMING,6,MST,11.5540,0,0.0000,75.0000
GAMING,12,DIR,0.0286,1,1021.0000,73.9776
GAMING,12,HEU,12.4874,1,395.0000,73.9776
GAMING,12,MST,13.9675,0,0.0000,75.0000
GAMING,18,DIR,0.0346,1,1283.0000,73.9776
GAMING,18,HEU,25.0552,1,526.0000,73.9776
GAMING,18,MST,13.0453,0,0.0000,75.0000
GAMING,24,DIR,0.0432,1,1672.0000,73.9776
GAMING,24,HEU,36.6755,1,527.0000,74.3785
GAMING,24,MST,14.6971,0,0.0000,75.0000
GAMING,30,DIR,0.0706,1,2427.0000,73.9776
GAMING,30,HEU,48.2786,1,782.0000,74.3350
GAMING,30,MST,13.7641,0,0.0000,75.0000
GAMING,36,DIR,0.0327,0,0.0000,75.0000
GAMING,36,HEU,21.8289,0,0.0000,75.0000
GAMING,36,MST,13.9635,0,0.0000,75.0000
GAMING,42,DIR,0.0410,0,0.0000,75.0000
GAMING,42,HEU,26.8321,0,0.0000,75.0000
GAMING,42,MST,14.8437,0,0.0000,75.0000
VIDEO,7,DIR,0.2494,1,387.0000,66.6596
VIDEO,7,HEU,11.7188,1,134.0000,80.1274
VIDEO,7,ILP,208447.8621,1,132.0000,89.0294
VIDEO,7,MST,12.6374,1,133.0000,82.4070
VIDEO,13,DIR,0.0262,1,1146.0000,73.9776
VIDEO,13,HEU,12.7320,1,512.0000,98.6612
VIDEO,13,ILP,2223667.5184,1,508.0000,115.2791
VIDEO,13,MST,11.1094,1,510.0000,113.6078
VIDEO,19,DIR,0.0308,1,1409.0000,73.9776
VIDEO,19,HEU,19.7577,1,518.0000,105.0665
VIDEO,19,MST,20.3700,1,516.0000,125.4739
VIDEO,25,DIR,0.0622,1,1798.0000,73.9776
VIDEO,25,HEU,37.3368,1,519.0000,130.3943
VIDEO,25,MST,12.3942,1,518.0000,138.5805
VIDEO,31,DIR,0.0479,1,2553.0000,73.9776
VIDEO,31,HEU,42.2082,1,647.0000,131.6260
VIDEO,31,MST,12.6386,1,644.0000,138.5805
VIDEO,37,DIR,0.0565,1,3066.0000,81.8154
VIDEO,37,HEU,55.3079,1,648.0000,132.1576
VIDEO,37,MST,13.5076,1,647.0000,150.9312
VIDEO,43,DIR,0.0646,1,3454.0000,81.8154
VIDEO,43,HEU,69.0923,1,650.0000,151.6501
VIDEO,43,MST,13.4375,1,645.0000,155.1966
AUDIO,7,DIR,0.0176,1,387.0000,66.6596
AUDIO,7,HEU,7.1452,1,134.0000,80.1274
AUDIO,7,ILP,160698.5343,1,132.0000,89.0294
AUDIO,7,MST,11.3134,1,133.0000,82.4070
AUDIO,13,DIR,0.0262,1,1146.0000,73.9776
AUDIO,13,HEU,12.9218,1,512.0000,98.6612
AUDIO,13,ILP,2814360.3814,1,508.0000,115.2791
AUDIO,13,MST,11.9214,1,510.0000,113.6078
